Experiment        l_min  l_center   l_max      Power    Sigma_minus  Sigma_plus  Upper Limit
Planck_binned         -999    434.8     -999   1787.6000     20.7000     20.7000    -999.000
Planck_binned         -999    464.8     -999   2162.0000     22.8000     22.8000    -999.000
Planck_binned         -999    494.8     -999   2422.1001     25.0000     25.0000    -999.000
Planck_binned         -999    524.8     -999   2573.5000     25.9000     25.9000    -999.000
Planck_binned         -999    554.8     -999   2546.3000     25.1000     25.1000    -999.000
Planck_binned         -999    584.8     -999   2360.6001     22.7000     22.7000    -999.000
Planck_binned         -999    614.7     -999   2095.3999     19.9000     19.9000    -999.000
Planck_binned         -999    644.7     -999   1884.7000     17.5000     17.5000    -999.000
Planck_binned         -999    674.7     -999   1813.2000     16.4000     16.4000    -999.000
Planck_binned         -999    704.7     -999   1883.2000     16.8000     16.8000    -999.000
Planck_binned         -999    734.7     -999   2097.1001     18.2000     18.2000    -999.000
Planck_binned         -999    764.7     -999   2318.7000     19.7000     19.7000    -999.000
Planck_binned         -999    794.7     -999   2464.6001     20.7000     20.7000    -999.000
Planck_binned         -999    824.7     -999   2521.8999     20.5000     20.5000    -999.000
Planck_binned         -999    854.7     -999   2394.1001     19.0000     19.0000    -999.000
Planck_binned         -999    884.7     -999   2083.3000     16.6000     16.6000    -999.000
Planck_binned         -999    914.7     -999   1740.7000     13.7000     13.7000    -999.000
Planck_binned         -999    944.7     -999   1418.7000     11.1000     11.1000    -999.000
Planck_binned         -999    974.7     -999   1173.0000      9.3000      9.3000    -999.000
Planck_binned         -999   1004.6     -999   1062.4000      8.4000      8.4000    -999.000
Planck_binned         -999   1034.6     -999   1047.9000      8.3000      8.3000    -999.000
Planck_binned         -999   1064.6     -999   1132.4000      8.7000      8.7000    -999.000
Planck_binned         -999   1094.6     -999   1211.0000      9.1000      9.1000    -999.000
Planck_binned         -999   1124.6     -999   1231.9000      9.3000      9.3000    -999.000
Planck_binned         -999   1154.6     -999   1205.8000      9.0000      9.0000    -999.000
Planck_binned         -999   1184.6     -999   1117.9000      8.3000      8.3000    -999.000
Planck_binned         -999   1214.6     -999    968.4000      7.5000      7.5000    -999.000
Planck_binned         -999   1244.6     -999    864.4000      6.6000      6.6000    -999.000
Planck_binned         -999   1274.6     -999    761.6000      6.0000      6.0000    -999.000
Planck_binned         -999   1304.6     -999    732.3000      5.7000      5.7000    -999.000
Planck_binned         -999   1334.6     -999    737.3000      5.7000      5.7000    -999.000
Planck_binned         -999   1364.6     -999    774.9000      5.9000      5.9000    -999.000
Planck_binned         -999   1394.6     -999    806.6000      6.2000      6.2000    -999.000
Planck_binned         -999   1424.6     -999    809.1000      6.3000      6.3000    -999.000
Planck_binned         -999   1454.6     -999    777.8000      6.1000      6.1000    -999.000
Planck_binned         -999   1484.6     -999    728.9000      5.7000      5.7000    -999.000
Planck_binned         -999   1514.6     -999    648.3000      5.2000      5.2000    -999.000
Planck_binned         -999   1544.6     -999    551.3000      4.7000      4.7000    -999.000
Planck_binned         -999   1574.6     -999    476.6000      4.3000      4.3000    -999.000
Planck_binned         -999   1604.6     -999    419.5000      4.0000      4.0000    -999.000
Planck_binned         -999   1634.6     -999    395.2000      4.0000      4.0000    -999.000
Planck_binned         -999   1664.6     -999    391.7000      4.0000      4.0000    -999.000
Planck_binned         -999   1694.6     -999    392.9000      4.2000      4.2000    -999.000
Planck_binned         -999   1724.6     -999    397.7000      4.3000      4.3000    -999.000
Planck_binned         -999   1754.6     -999    383.0000      4.4000      4.4000    -999.000
Planck_binned         -999   1784.6     -999    375.4000      4.5000      4.5000    -999.000
Planck_binned         -999   1814.6     -999    340.1000      4.5000      4.5000    -999.000
Planck_binned         -999   1844.6     -999    307.5000      4.5000      4.5000    -999.000
Planck_binned         -999   1874.6     -999    273.9000      4.5000      4.5000    -999.000
Planck_binned         -999   1904.6     -999    249.8000      4.6000      4.6000    -999.000
Planck_binned         -999   1934.6     -999    244.2000      4.8000      4.8000    -999.000
Planck_binned         -999   1964.6     -999    231.9000      5.0000      5.0000    -999.000
Planck_binned         -999   1994.6     -999    234.7000      5.4000      5.4000    -999.000
Planck_binned         -999   2024.6     -999    231.7000      5.9000      5.9000    -999.000
Planck_binned         -999   2054.6     -999    219.7000      6.2000      6.2000    -999.000
Planck_binned         -999   2084.6     -999    214.3000      6.5000      6.5000    -999.000
Planck_binned         -999   2114.6     -999    196.7000      6.9000      6.9000    -999.000
Planck_binned         -999   2144.6     -999    176.4000      7.2000      7.2000    -999.000
Planck_binned         -999   2174.6     -999    152.2000      7.6000      7.6000    -999.000
Planck_binned         -999   2204.6     -999    138.7000      8.1000      8.1000    -999.000
Planck_binned         -999   2234.6     -999    121.5000      8.6000      8.6000    -999.000
Planck_binned         -999   2264.6     -999    116.2000      9.3000      9.3000    -999.000
Planck_binned         -999   2294.6     -999    117.8000      9.9000      9.9000    -999.000
Planck_binned         -999   2324.6     -999    116.1000     10.7000     10.7000    -999.000
Planck_binned         -999   2354.6     -999    109.7000     11.5000     11.5000    -999.000
Planck_binned         -999   2384.6     -999    120.4000     12.4000     12.4000    -999.000
Planck_binned         -999   2414.6     -999     90.5000     13.3000     13.3000    -999.000
Planck_binned         -999   2444.6     -999    103.1000     14.4000     14.4000    -999.000
